gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
female,married,northern,bachelor,mzuni,fulltime,living,partially_paid,phone,monthly_salary,convenient,ineffective,neutral,negative,dissatisfied,under,stem
male,married,northern,master,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
female,married,central,master,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,southern,master,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,northern,bachelor,mzuni,fulltime,tuition,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,northern,doctorate,mzuni,fulltime,tuition_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,married,northern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,married,southern,bachelor,mzuni,fulltime,tuition,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,neutral,under,stem
male,married,northern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,single,central,master,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,single,southern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,married,southern,doctorate,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,stem
male,married,central,bachelor,poly,fulltime,tuition_living,fully_paid,employer,monthly_salary,convenient,effective,effective,neutral,satisfied,under,natural resourses
male,single,central,master,luanar,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,natural resourses
male,married,southern,bachelor,chanco,fulltime,tuition_living,partially_paid,phone,monthly_salary,convenient,effective,effective,positive,satisfied,under,health sciences
male,single,central,master,luanar,self_employed,tuition_living,fully_paid,email_inperson,voluntary_monthly,very_convenient,effective,very_effective,very_positive,very satisfied,under,stem
male,married,central,bachelor,luanar,fulltime,tuition_living,not_paid,phone,none,inconvenient,ineffective,neutral,neutral,neutral,over,natural resourses
female,married,northern,bachelor,mzuni,fulltime,tuition_living,fully_paid,inperson,voluntary_monthly,convenient,effective,effective,positive,satisfied,under,health sciences
male,divorced,central,doctorate,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,inconvenient,ineffective,ineffective,negative,very dissatisfied,over,health sciences
female,single,northern,bachelor,mzuni,unemployed,tuition_living,not_paid,phone,none,neutral,neutral,neutral,neutral,neutral,over,stem
male,married,central,bachelor,chanco,fulltime,tuition_living,fully_paid,inperson,monthly_salary,neutral,effective,effective,neutral,neutral,over,stem
